i,n,m,k,num_threads,multiplier,iterations,time_us,stddev_us
1,10,10,10,4,DefaultMultiplierIJK,4,3335.500000,5770.327148
2,10,10,10,4,DefaultMultiplierIJKCached,4,3.250000,0.433013
3,10,10,10,4,DefaultMultiplierJIK,4,3.250000,0.433013
4,10,10,10,4,Collapse2Multiplier,4,2.000000,0.000000
5,10,10,10,4,Collapse3Multiplier,4,2.500000,0.500000
6,10,10,10,4,DefaultMultiplierIJKTranspose,4,3.000000,0.000000
7,10,10,10,4,DefaultMultiplierIJKTransposeCached,4,2.000000,0.000000
8,10,10,10,16,DefaultMultiplierIJK,4,93.000000,77.823517
9,10,10,10,16,DefaultMultiplierIJKCached,4,45.500000,16.874537
10,10,10,10,16,DefaultMultiplierJIK,4,54.250000,10.732544
11,10,10,10,16,Collapse2Multiplier,4,62.250000,3.491060
12,10,10,10,16,Collapse3Multiplier,4,62.250000,4.602988
13,10,10,10,16,DefaultMultiplierIJKTranspose,4,54.250000,5.673403
14,10,10,10,16,DefaultMultiplierIJKTransposeCached,4,52.500000,6.103278
15,10,10,100,4,DefaultMultiplierIJK,4,32.750000,27.288963
16,10,10,100,4,DefaultMultiplierIJKCached,4,12.000000,1.224745
17,10,10,100,4,DefaultMultiplierJIK,4,20.000000,1.224745
18,10,10,100,4,Collapse2Multiplier,4,9.750000,0.433013
19,10,10,100,4,Collapse3Multiplier,4,13.000000,0.000000
20,10,10,100,4,DefaultMultiplierIJKTranspose,4,20.500000,2.598076
21,10,10,100,4,DefaultMultiplierIJKTransposeCached,4,15.250000,0.433013
22,10,10,100,16,DefaultMultiplierIJK,4,117.250000,82.783981
23,10,10,100,16,DefaultMultiplierIJKCached,4,60.500000,7.158911
24,10,10,100,16,DefaultMultiplierJIK,4,75.250000,1.299038
25,10,10,100,16,Collapse2Multiplier,4,75.000000,19.300259
26,10,10,100,16,Collapse3Multiplier,4,82.750000,5.931905
27,10,10,100,16,DefaultMultiplierIJKTranspose,4,84.500000,13.647344
28,10,10,100,16,DefaultMultiplierIJKTransposeCached,4,65.750000,1.479020
29,10,10,1000,4,DefaultMultiplierIJK,4,170.750000,25.577089
30,10,10,1000,4,DefaultMultiplierIJKCached,4,106.500000,1.500000
31,10,10,1000,4,DefaultMultiplierJIK,4,197.500000,21.266171
32,10,10,1000,4,Collapse2Multiplier,4,124.250000,1.299038
33,10,10,1000,4,Collapse3Multiplier,4,182.000000,1.224745
34,10,10,1000,4,DefaultMultiplierIJKTranspose,4,218.250000,20.437405
35,10,10,1000,4,DefaultMultiplierIJKTransposeCached,4,139.750000,2.277608
36,10,10,1000,16,DefaultMultiplierIJK,4,293.750000,95.016777
37,10,10,1000,16,DefaultMultiplierIJKCached,4,170.000000,25.099800
38,10,10,1000,16,DefaultMultiplierJIK,4,242.000000,33.143627
39,10,10,1000,16,Collapse2Multiplier,4,134.250000,17.325920
40,10,10,1000,16,Collapse3Multiplier,4,195.250000,10.662434
41,10,10,1000,16,DefaultMultiplierIJKTranspose,4,295.750000,47.314770
42,10,10,1000,16,DefaultMultiplierIJKTransposeCached,4,188.750000,13.827057
43,10,100,10,4,DefaultMultiplierIJK,4,38.000000,21.236761
44,10,100,10,4,DefaultMultiplierIJKCached,4,16.000000,1.224745
45,10,100,10,4,DefaultMultiplierJIK,4,18.750000,0.829156
46,10,100,10,4,Collapse2Multiplier,4,13.250000,0.433013
47,10,100,10,4,Collapse3Multiplier,4,17.000000,0.000000
