i,n,m,k,reps,multiplier,time_us,stddev_us
1,1000,1,1000,10,MatrixVectorStreamMultiplier,459.600006,4.820205
2,1000,2,1000,10,MatrixVectorStreamMultiplier,573.400024,303.063385
3,1000,3,1000,10,MatrixVectorStreamMultiplier,866.799988,1052.058228
4,1000,4,1000,10,MatrixVectorStreamMultiplier,638.400024,289.514801
5,1000,5,1000,10,MatrixVectorStreamMultiplier,954.700012,414.810059
6,1000,6,1000,10,MatrixVectorStreamMultiplier,1123.000000,304.047699
7,1000,7,1000,10,MatrixVectorStreamMultiplier,1967.400024,1202.372803
8,1000,8,1000,10,MatrixVectorStreamMultiplier,2246.000000,266.109955
9,1000,1,10000,10,MatrixVectorStreamMultiplier,3929.699951,251.972214
10,1000,2,10000,10,MatrixVectorStreamMultiplier,3659.000000,82.200974
11,1000,3,10000,10,MatrixVectorStreamMultiplier,3636.100098,69.735214
12,1000,4,10000,10,MatrixVectorStreamMultiplier,3793.600098,86.787094
13,1000,5,10000,10,MatrixVectorStreamMultiplier,3206.300049,318.764801
14,1000,6,10000,10,MatrixVectorStreamMultiplier,5521.299805,3295.927246
15,1000,7,10000,10,MatrixVectorStreamMultiplier,5081.399902,364.839691
16,1000,8,10000,10,MatrixVectorStreamMultiplier,5905.600098,369.697174
17,10000,1,1000,10,MatrixVectorStreamMultiplier,4955.600098,49.254440
18,10000,2,1000,10,MatrixVectorStreamMultiplier,5973.500000,50.675438
19,10000,3,1000,10,MatrixVectorStreamMultiplier,6449.600098,666.918274
20,10000,4,1000,10,MatrixVectorStreamMultiplier,5438.299805,323.610870
21,10000,5,1000,10,MatrixVectorStreamMultiplier,5965.500000,67.498146
22,10000,6,1000,10,MatrixVectorStreamMultiplier,6750.799805,335.821381
23,10000,7,1000,10,MatrixVectorStreamMultiplier,7610.299805,335.517517
24,10000,8,1000,10,MatrixVectorStreamMultiplier,13715.599609,14632.704102
25,10000,1,10000,10,MatrixVectorStreamMultiplier,33237.199219,439.781769
26,10000,2,10000,10,MatrixVectorStreamMultiplier,30667.300781,900.879578
27,10000,3,10000,10,MatrixVectorStreamMultiplier,29758.699219,1324.428955
28,10000,4,10000,10,MatrixVectorStreamMultiplier,26904.199219,2051.262939
29,10000,5,10000,10,MatrixVectorStreamMultiplier,28048.599609,456.981415
30,10000,6,10000,10,MatrixVectorStreamMultiplier,26339.800781,490.028564
31,10000,7,10000,10,MatrixVectorStreamMultiplier,29329.900391,524.839050
32,10000,8,10000,10,MatrixVectorStreamMultiplier,28793.400391,620.966980
